5.96639010,51.43681390,"HST.HD00880 , Griendtsveensewg 33 , Griendtsveenseweg , 33 , 5966 PT , AMERICA"
5.96455040,51.43702190,"HST.HD00871 , Griendtsveensewg 37 , Griendtsveenseweg , 37 , 5966 PT , AMERICA"
5.96392270,51.43708420,"HST.HD00068 , Griendtsveensewg 39 , Griendtsveenseweg , 39 , 5966 PT , AMERICA"
5.96212820,51.43715320,"HST.DK00020 , Griendtsveensewg 41 , Griendtsveenseweg , 41 , 5966 PT , AMERICA"
5.95984770,51.43722390,"HST.HD00027 , Griendtsveensewg 45 , Griendtsveenseweg , 45 , 5966 PT , AMERICA"
5.95896580,51.43722910,"HST.HD01004 , Griendtsveensewg 47 , Griendtsveenseweg , 47 , 5966 PT , AMERICA"
5.95820700,51.43725010,"HST.HD00868 , Griendtsveensewg 49 , Griendtsveenseweg , 49 , 5966 PT , AMERICA"
5.95754670,51.43723940,"HST.HD01031 , Griendtsveensewg 51 , Griendtsveenseweg , 51 , 5966 PV , AMERICA"
5.95669260,51.43725970,"HST.HD00107 , Griendtsveensewg 53 , Griendtsveenseweg , 53 , 5966 PV , AMERICA"
5.95551380,51.43726880,"HST.HD00060 , Griendtsveensewg 55 , Griendtsveenseweg , 55 , 5966 PV , AMERICA"
5.95418430,51.43723750,"HST.AS01035 , Griendtsveensewg 57 , Griendtsveenseweg , 57 , 5966 PV , AMERICA"
5.95383400,51.43730430,"HST.DK00918 , Griendtsveensewg 59 , Griendtsveenseweg , 59 , 5966 PV , AMERICA"
5.94807190,51.43749400,"HST.HD00731 , Griendtsveensewg 65 , Griendtsveenseweg , 65 , 5966 PV , AMERICA"
5.94677060,51.43761190,"HST.DK00308 , Griendtsveensewg 69 , Griendtsveenseweg , 69 , 5966 PV , AMERICA"
5.94550700,51.43757000,"HST.HD00489 , Griendtsveensewg 73 , Griendtsveenseweg , 73 , 5966 PV , AMERICA"
5.94412560,51.43770200,"HST.HD00412 , Griendtsveensewg 75 , Griendtsveenseweg , 75 , 5966 PV , AMERICA"
5.94353250,51.43796760,"HST.HD00073 , Griendtsveensewg 77 , Griendtsveenseweg , 77 , 5966 PV , AMERICA"
5.94201380,51.43794350,"HST.HD00367 , Griendtsveensewg 79 , Griendtsveenseweg , 79 , 5966 PV , AMERICA"
5.93424440,51.43914510,"HST.HD00161 , Griendtsveensewg 80 , Griendtsveenseweg , 80 , 5966 PW , AMERICA"
5.94110090,51.43799800,"HST.HM00627 , Griendtsveensewg 81 , Griendtsveenseweg , 81 , 5966 PV , AMERICA"
5.93923940,51.43819300,"HST.HD00546 , Griendtsveensewg 85 , Griendtsveenseweg , 85 , 5966 PV , AMERICA"
5.97550710,51.43587840,"HST.HD00269 , Griendtsveenseweg 9 , Griendtsveenseweg , 9 , 5966 PT , AMERICA"
5.93619050,51.43869000,"HST.HD00547 , Griendtsveensewg 91 , Griendtsveenseweg , 91 , 5966 PV , AMERICA"
5.93510330,51.43861770,"HST.HD00447 , Griendtsveensewg 93 , Griendtsveenseweg , 93 , 5966 PV , AMERICA"
5.98611370,51.43634050,"HST.HD00720 , Hoebertweg 1 A , Hoebertweg , 1 A , 5966 ND , AMERICA"
5.98738950,51.43617300,"HST.HD00144 , Hoebertweg 1 A , Hoebertweg , 1 A , 5966 ND , AMERICA"
5.99352060,51.43518190,"HST.DK00838 , Hoebertweg 11 , Hoebertweg , 11 , 5966 ND , AMERICA"
5.99221510,51.43524840,"HST.HD00851 , Hoebertweg 12 , Hoebertweg , 12 , 5966 ND , AMERICA"
